smiles,class_label,pPot_diff,target_pair,cid
Cc1nc(C#Cc2cccc3cc(C(C)NC(=O)c4c(N)nn5cccnc45)n(-c4ccccc4)c(=O)c23)cs1,0,0.1200000000000001,P42336_P48736,10
CN1CCN(C(=O)c2ccc(NC(=O)Nc3ccc(-c4nc(N5CCOCC5)[nH]c(=O)n4)cc3)cc2)CC1,0,0.8000000000000007,P42336_P48736,1654
CC(=O)N(C)C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)C1,0,0.10000000000000053,P42336_P48736,11
c1cnc2c(N3CCOCC3)nc(-c3ccc4cn[nH]c4c3)nc2c1,0,0.7700000000000005,P42336_P48736,1655
CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21,0,0.6099999999999994,P42336_P48736,12
CN(C)CC(=O)N1CCC(c2nc(-c3cnc(N)c(-n4nnc5ccccc54)n3)n(C)n2)CC1,0,0.8599999999999994,P42336_P48736,13
COc1cccc2c1CCN2C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,0,0.6200000000000001,P42336_P48736,16
Nc1cnc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cn1,0,0.9699999999999998,P42336_P48736,17
Cc1nc(N)nc(-c2cc(CN3CCN(S(C)(=O)=O)CC3)cnc2Nc2ccc(C(F)(F)F)nc2)n1,0,0.019999999999999574,P42336_P48736,1656
Oc1cncc(-c2nc(N3CCOCC3)c3ncn(C4CCNCC4)c3n2)c1,0,0.4899999999999993,P42336_P48736,1657
CS(=O)(=O)N1CCN(Cc2cn3cc(-c4cnc(N)nc4C(F)(F)F)nc(N4CCOCC4)c3n2)CC1,0,0.41999999999999993,P42336_P48736,1658
CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)nc(N3CCOCC3)n2)cc1,0,0.3600000000000003,P42336_P48736,1659
COc1ccc(Nc2ncc(CO)cc2-c2nc(C)nc(N)n2)cn1,0,0.41999999999999993,P42336_P48736,19
CNC(=O)c1nc(-c2cnc(N)c(S(=O)(=O)Nc3ccccc3)c2)cnc1N,0,0.5800000000000001,P42336_P48736,22
N#CCc1ccc(Nc2ncnc3ccc(-c4ccc5[nH]ccc5c4)cc23)cc1,0,0.5800000000000001,P42336_P48736,1660
CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCC(O)CC2)cc2c(=O)cc(N3CCOCC3)oc12,0,0.08000000000000007,P42336_P48736,23
O=c1cc(N2CCOCC2)oc2c(-c3ccc(Cl)cc3)csc12,0,0.7199999999999998,P42336_P48736,1057
COc1ccc2[nH]c(C)c(C=C3Oc4cc(O)cc(O)c4C3=O)c2c1,0,0.9199999999999999,P42336_P48736,1661
Cc1ccc(S(=O)(=O)NCC2CC(O)C2)cc1-c1cncc(-c2cn(C)nc2C)n1,0,0.9100000000000001,P42336_P48736,27
CC(=O)Nc1nc(C)c(-c2ccc(S(C)(=O)=O)c(C(F)(F)F)c2)s1,0,0.33999999999999986,P42336_P48736,28
Cc1c(Cn2c(C)nn3c(=O)cc(N4CCOCC4)nc23)cccc1C(F)(F)F,0,0.10000000000000053,P42336_P48736,1662
COC(=O)c1ccc2nc(NC(C)=O)sc2c1,0,0.28000000000000025,P42336_P48736,1663
CC(=O)Nc1nc(C)c(-c2cnc(C(C)(C)C)o2)s1,0,0.6999999999999993,P42336_P48736,1664
CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3cn[nH]c3)ccc1-2,2,2.0300000000000002,P42336_P48736,1665
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1C1CCCCC1,0,0.0600000000000005,P42336_P48736,32
Cc1nnc2n1C1CCN(Cc3cc4nc(-c5cccc(O)c5)nc(N5CCOCC5)c4s3)CC1CC2,0,0.7000000000000002,P42336_P48736,33
O=C(Nc1ccc2cc(C(=O)Nc3nccs3)ccc2c1)c1ccc(Cl)c(Cl)c1,0,0.0,P42336_P48736,34
CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(C)c(S(=O)(=O)N(C)C)c4)n3)ccn2)cc1,0,0.07000000000000028,P42336_P48736,1666
CC(Nc1ncnc(N)c1C#N)c1nc2ccc(F)cc2c(N(C)C)c1-c1ccccn1,0,0.5999999999999996,P42336_P48736,35
Oc1cccc(-c2cc(NCc3ccccn3)nc(N3CCOCC3)n2)c1,0,0.9299999999999997,P42336_P48736,1667
CCNC(=O)c1cc(C(C)Nc2cc(F)cc(F)c2)c2oc(N3CCOCC3)cc(=O)c2c1,0,0.5199999999999996,P42336_P48736,37
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2cc(Cl)ccc21,0,0.6900000000000004,P42336_P48736,38
Cc1nc(-c2cccnc2Nc2cccc3n[nH]cc23)c2c[nH]nc2n1,0,0.54,P42336_P48736,39
C#CCNc1nc(C)nc(-n2c(Nc3ccn[nH]3)nc3ccccc32)n1,0,0.02999999999999936,P42336_P48736,40
Oc1cccc2c1nc(C(F)F)n2-c1nc(N2CCOCC2)nc(N2CCOCC2)n1,0,0.8300000000000001,P42336_P48736,41
Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1,0,0.22999999999999954,P42336_P48736,42
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2ccc3ccccc3c2c(=O)n1-c1ccccc1,0,0.15000000000000036,P42336_P48736,43
Oc1cccc(-c2cc(N3CCOCC3)nc(NCCc3ccccn3)n2)c1,0,0.3200000000000003,P42336_P48736,1668
CS(=O)(=O)c1cccc(-c2nc(N3CCOCC3)c3[nH]cnc3n2)c1,0,0.3100000000000005,P42336_P48736,1669
CC(NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#CC3CC3)c2c(=O)n1-c1ccccc1,0,0.15000000000000036,P42336_P48736,46
Cc1nc(N)nc(-n2c(Nc3n[nH]c4ccccc34)nc3ccccc32)n1,0,0.7000000000000002,P42336_P48736,47
O=C1NC(=O)C(=Cc2ccc(-c3ccc(O)cc3)o2)S1,0,0.9799999999999995,P42336_P48736,1670
NC(=O)C(Nc1ccc2c(c1)OCCn1cc(N3C(=O)OCC3C(F)F)nc1-2)C1CC1,1,2.8500000000000005,P42336_P48736,48
COc1ccc(-c2ccc3nc(NC(C)=O)nn3c2)cc1OC,0,0.9000000000000004,P42336_P48736,49
COc1ccc(-c2cc(OC3CCN(C(=O)C4CC4)C3)cc3c2CNC3=O)cn1,0,0.39999999999999947,P42336_P48736,50
Nc1nc(N)c2nc(-c3cccc(O)c3)cnc2n1,0,0.41999999999999993,P42336_P48736,1671
CC(Nc1cc(F)c(F)c(F)c1)c1cc(C(=O)N(C)C)cc2c(=O)cc(N3CCOCC3)oc12,0,0.7300000000000004,P42336_P48736,1672
Nc1nc2ccc(-c3cnn(Cc4ccccc4)c3)cc2s1,0,0.6000000000000005,P42336_P48736,1673
Oc1cccc(-c2cc(NCCc3cccnc3)nc(N3CCOCC3)n2)c1,0,0.5700000000000003,P42336_P48736,1674
Cc1nn2c(=O)cc(N3CCOC(C)C3)nc2n1Cc1cccc(Cl)c1Cl,0,0.03000000000000025,P42336_P48736,1675
CNC(=O)NC1CCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,0,0.40000000000000036,P42336_P48736,56
COc1ccc(-c2ccc3ncnc(OC4CCN(C(C)=O)C4)c3c2)cc1OC,0,0.27000000000000046,P42336_P48736,57
Cc1nc(N)nc(-c2cc(CN3CCN(S(C)(=O)=O)CC3)cnc2Nc2cncc(F)c2)n1,0,0.20000000000000018,P42336_P48736,1676
CS(=O)(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,0,0.09999999999999964,P42336_P48736,1677
Cc1ccnc(C#Cc2c(N)ncnc2NC(C)c2nc3cccc(Cl)c3c(=O)n2-c2ccccc2)c1,0,0.0,P42336_P48736,1678
CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,0,0.6999999999999993,P42336_P48736,59
CC1(C)OCCN(c2cccc(-c3cc(C(F)(F)F)c4c(N)ncnn34)c2)C1=O,0,0.7400000000000002,P42336_P48736,61
COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1,0,0.9699999999999998,P42336_P48736,63
CC(=O)N(C)C1CCCN(Cc2cc3nc(-c4cnc(N)nc4)nc(N4CCOCC4)c3s2)C1,0,0.20000000000000018,P42336_P48736,64
CNC(=O)Nc1ccc(-c2cc(-c3ccnc(Nc4ccc(Cl)c(S(=O)(=O)N(C)C)c4)n3)ccn2)cc1,0,0.21000000000000085,P42336_P48736,1679
O=c1cc(N2CCOCC2)oc2c(-c3ccco3)csc12,0,0.8799999999999999,P42336_P48736,1680
COc1ccc(Nc2ncncc2-c2nc(C)nc(N)n2)cn1,0,0.09999999999999964,P42336_P48736,66
Cc1nc(NCC#N)nc(-n2c(Nc3ccn[nH]3)nc3ccccc32)n1,0,0.23000000000000043,P42336_P48736,68
Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1,0,0.25,P42336_P48736,1681
Nc1nc2cc(-c3nn(CC4CCCC4)c4ncnc(N)c34)ccc2o1,0,0.16000000000000014,P42336_P48736,70
Cn1c(CC(=O)N2CCc3ccccc32)nc(N2CCOCC2)cc1=O,0,0.3600000000000003,P42336_P48736,1682
Cc1ccn(-c2nc(-c3cc(S(=O)(=O)NCC(C)(C)O)ccc3C)cnc2N)n1,0,0.9700000000000006,P42336_P48736,1683
Cc1nc(N)nc(N2CCCC2c2nc3cccc(-c4cccnc4)c3c(=O)n2-c2ccccc2)c1C#N,0,0.2599999999999998,P42336_P48736,1080
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2c(Br)cccc21,0,0.5800000000000001,P42336_P48736,1684
N#CCc1ccc(Nc2ncnc3ccc(-c4cccc([N+](=O)[O-])c4)cc23)cc1,0,0.27999999999999936,P42336_P48736,1685
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(Cl)cc1,0,0.34999999999999964,P42336_P48736,73
CNC(=O)NC1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,0,0.5999999999999996,P42336_P48736,74
CS(=O)(=O)Nc1cc(-c2ccc3cn[nH]c3c2)cnc1Cl,0,0.39999999999999947,P42336_P48736,1083
Cc1c(Cn2ccn3c(=O)cc(N4CCOC(C)C4)nc23)cccc1C(F)(F)F,0,0.3200000000000003,P42336_P48736,1686
CN(C)CC1CCN(C(=O)Nc2nc3c(s2)-c2nc(C(C)(C)C)ncc2CC3)C1C(N)=O,1,2.1400000000000006,P42336_P48736,1687
